epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,114.349,0.52298,0.53374,0.81026,0.97349,1,0.995,0.87231,0.69528,0.50509,0.84392,0.000561279,0.000561279,0.000561279
69,115.729,0.55513,0.47706,0.81689,0.97349,1,0.995,0.87231,0.69528,0.50509,0.84392,0.000544776,0.000544776,0.000544776
70,117.534,0.55169,0.47939,0.82708,0.97601,1,0.995,0.86935,0.69904,0.51226,0.84424,0.000528272,0.000528272,0.000528272
71,119.204,0.51364,0.48254,0.80296,0.97601,1,0.995,0.86935,0.69904,0.51226,0.84424,0.000511769,0.000511769,0.000511769
72,121.218,0.57206,0.52461,0.83652,0.974,1,0.995,0.87763,0.68862,0.52941,0.84651,0.000495266,0.000495266,0.000495266
73,122.651,0.51848,0.49641,0.8216,0.974,1,0.995,0.87763,0.68862,0.52941,0.84651,0.000478762,0.000478762,0.000478762
74,124.426,0.53916,0.48603,0.79536,0.97219,1,0.995,0.88424,0.68629,0.56018,0.8473,0.000462259,0.000462259,0.000462259
75,125.972,0.50146,0.48135,0.82928,0.97219,1,0.995,0.88424,0.68629,0.56018,0.8473,0.000445756,0.000445756,0.000445756
76,128.394,0.57165,0.4799,0.81696,0.96986,1,0.995,0.88627,0.67108,0.57525,0.84405,0.000429253,0.000429253,0.000429253
77,130.142,0.46751,0.47217,0.81356,0.96986,1,0.995,0.88627,0.67108,0.57525,0.84405,0.000412749,0.000412749,0.000412749
78,132.584,0.51333,0.46968,0.81766,0.9708,1,0.995,0.88611,0.65012,0.56378,0.83987,0.000396246,0.000396246,0.000396246
79,134.394,0.45788,0.46058,0.79738,0.9708,1,0.995,0.88611,0.65012,0.56378,0.83987,0.000379743,0.000379743,0.000379743
80,136.464,0.56044,0.48403,0.83575,0.97658,1,0.995,0.87273,0.64944,0.51842,0.84188,0.000363239,0.000363239,0.000363239
81,138.259,0.49407,0.44327,0.82347,0.97658,1,0.995,0.87273,0.64944,0.51842,0.84188,0.000346736,0.000346736,0.000346736
82,140.483,0.45269,0.43883,0.81197,0.983,1,0.995,0.86988,0.66271,0.4787,0.84413,0.000330233,0.000330233,0.000330233
83,142.093,0.47253,0.44193,0.79859,0.983,1,0.995,0.86988,0.66271,0.4787,0.84413,0.000313729,0.000313729,0.000313729
84,144.705,0.53144,0.44892,0.84081,0.9891,1,0.995,0.86225,0.66759,0.4536,0.84495,0.000297226,0.000297226,0.000297226
85,146.855,0.44942,0.43341,0.78988,0.9891,1,0.995,0.86225,0.66759,0.4536,0.84495,0.000280723,0.000280723,0.000280723
86,149.255,0.47209,0.4362,0.81891,0.9933,1,0.995,0.86209,0.65072,0.43678,0.8406,0.00026422,0.00026422,0.00026422
87,151.045,0.49632,0.43416,0.79687,0.9933,1,0.995,0.86209,0.65072,0.43678,0.8406,0.000247716,0.000247716,0.000247716
88,153.229,0.48147,0.4565,0.81169,0.99435,1,0.995,0.86721,0.63595,0.42113,0.8369,0.000231213,0.000231213,0.000231213
89,154.975,0.44794,0.42144,0.80225,0.99435,1,0.995,0.86721,0.63595,0.42113,0.8369,0.00021471,0.00021471,0.00021471
