epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,103.769,0.58432,0.5387,0.81706,0.94119,1,0.995,0.84317,0.73101,0.84795,0.84888,0.000726312,0.000726312,0.000726312
59,105.235,0.55605,0.52519,0.82841,0.94119,1,0.995,0.84317,0.73101,0.84795,0.84888,0.000709809,0.000709809,0.000709809
60,107.041,0.51154,0.52489,0.80221,0.93547,1,0.995,0.85701,0.72339,0.85436,0.84767,0.000693305,0.000693305,0.000693305
61,108.431,0.52193,0.5318,0.82008,0.93547,1,0.995,0.85701,0.72339,0.85436,0.84767,0.000676802,0.000676802,0.000676802
62,110.163,0.54109,0.54201,0.78707,0.94,1,0.995,0.85839,0.71058,0.7309,0.85158,0.000660299,0.000660299,0.000660299
63,111.645,0.58608,0.50821,0.81287,0.94,1,0.995,0.85839,0.71058,0.7309,0.85158,0.000643795,0.000643795,0.000643795
64,113.534,0.5419,0.4982,0.83174,0.95134,1,0.995,0.85574,0.70093,0.61807,0.84852,0.000627292,0.000627292,0.000627292
65,114.899,0.6274,0.51799,0.84965,0.95134,1,0.995,0.85574,0.70093,0.61807,0.84852,0.000610789,0.000610789,0.000610789
66,116.496,0.54644,0.48574,0.81892,0.96387,1,0.995,0.85848,0.68748,0.54018,0.84272,0.000594286,0.000594286,0.000594286
67,117.85,0.52725,0.47557,0.83993,0.96387,1,0.995,0.85848,0.68748,0.54018,0.84272,0.000577782,0.000577782,0.000577782
68,119.58,0.52585,0.53091,0.81056,0.97084,1,0.995,0.87256,0.69488,0.50563,0.84453,0.000561279,0.000561279,0.000561279
69,120.835,0.55079,0.46994,0.81661,0.97084,1,0.995,0.87256,0.69488,0.50563,0.84453,0.000544776,0.000544776,0.000544776
70,122.768,0.55251,0.47663,0.82687,0.9741,1,0.995,0.87723,0.69488,0.51257,0.84467,0.000528272,0.000528272,0.000528272
71,124.292,0.51308,0.47397,0.80429,0.9741,1,0.995,0.87723,0.69488,0.51257,0.84467,0.000511769,0.000511769,0.000511769
72,126.073,0.56848,0.52213,0.83671,0.97239,1,0.995,0.88364,0.6879,0.53469,0.84792,0.000495266,0.000495266,0.000495266
73,127.503,0.51712,0.49091,0.82107,0.97239,1,0.995,0.88364,0.6879,0.53469,0.84792,0.000478762,0.000478762,0.000478762
74,129.516,0.53648,0.48324,0.79456,0.97013,1,0.995,0.87196,0.69439,0.55946,0.84903,0.000462259,0.000462259,0.000462259
75,131.355,0.49875,0.47594,0.82849,0.97013,1,0.995,0.87196,0.69439,0.55946,0.84903,0.000445756,0.000445756,0.000445756
76,133.779,0.56875,0.47592,0.81661,0.96839,1,0.995,0.88787,0.67574,0.57226,0.84451,0.000429253,0.000429253,0.000429253
77,135.35,0.46884,0.4685,0.8138,0.96839,1,0.995,0.88787,0.67574,0.57226,0.84451,0.000412749,0.000412749,0.000412749
78,137.618,0.51122,0.46719,0.81669,0.97001,1,0.995,0.87414,0.65151,0.55904,0.84042,0.000396246,0.000396246,0.000396246
79,139.349,0.45479,0.45573,0.79667,0.97001,1,0.995,0.87414,0.65151,0.55904,0.84042,0.000379743,0.000379743,0.000379743
80,141.678,0.55839,0.47908,0.83532,0.97606,1,0.995,0.8644,0.65187,0.51114,0.8422,0.000363239,0.000363239,0.000363239
81,143.316,0.49565,0.44359,0.82289,0.97606,1,0.995,0.8644,0.65187,0.51114,0.8422,0.000346736,0.000346736,0.000346736
82,145.592,0.44949,0.43975,0.81194,0.98273,1,0.995,0.8667,0.66007,0.4673,0.8443,0.000330233,0.000330233,0.000330233
83,147.135,0.4774,0.43837,0.79829,0.98273,1,0.995,0.8667,0.66007,0.4673,0.8443,0.000313729,0.000313729,0.000313729
84,149.464,0.53147,0.44568,0.84039,0.98894,1,0.995,0.87211,0.66583,0.44345,0.84579,0.000297226,0.000297226,0.000297226
85,151.338,0.45016,0.42852,0.79027,0.98894,1,0.995,0.87211,0.66583,0.44345,0.84579,0.000280723,0.000280723,0.000280723
